short_title,full_title,url
"Free food, delivery, deals from Chipotle and more","Burrito Day 2020: Free food, delivery, deals from Chipotle and more",https://www.usatoday.com/story/money/food/2020/04/01/coronavirus-national-burrito-day-2020-quarantine-specials-free-delivery/5109874002/
These banks are offering coronavirus financial aid,These banks are offering coronavirus financial aid,https://www.cnbc.com/2020/03/23/these-banks-are-offering-coronavirus-financial-aid.html
How restaurants are adapting to uncertainty,Coronavirus: How restaurants are adapting to uncertainty,https://www.usatoday.com/story/money/2020/03/17/coronavirus-how-restaurants-adapting-uncertainty/5057617002/
How to watch Emma: stream the 2020 movie online anywhere,How to watch Emma: stream the 2020 movie online anywhere | TechRadar,https://www.techradar.com/news/how-to-watch-emma-stream-the-2020-movie-online-anywhere
Kojima Productions cancels GDC appearance over coronavirus worries,Kojima Productions cancels GDC appearance over coronavirus worries - MSPoweruser,https://mspoweruser.com/kojima-productions-gdc-cancellation-coronavirus/
Leaders say Minnesota Capitol won't close due to COVID-19,Leaders say Minnesota Capitol won't close due to COVID-19,https://apnews.com/bdc1c8033fee26acd9d02153c0687121
Apple Has a Bright Future,Apple Has a Bright Future,https://gizmodo.com/apple-has-a-bright-future-1843187742
Dr. Mario World’s new Dr. Goomba Tower is highly suspicious,Dr. Mario World’s new Dr. Goomba Tower is highly suspicious - Polygon,https://www.polygon.com/2020/4/24/21234576/dr-mario-world-goomba-tower-doctor
Iran Election: Hardliners' Victory Sets Back Relations With West,Iran Election: Hardliners' Victory Sets Back Relations With West | Time,https://time.com/5789565/iran-elections-hardliners/
Biden leads Trump in Michigan: poll,Biden leads Trump in Michigan: poll | TheHill,https://thehill.com/homenews/campaign/494237-biden-leads-trump-in-michigan-poll
See what London's major sites look like under lockdown,See what London's major sites look like under lockdown - CNN Video,https://www.cnn.com/videos/travel/2020/04/23/uk-london-covid-19-coronavirus-pandemic-tourism-guides-torigoe-pkg-intl-ldn-vpx.cnn
Tennis stars rally in fight against coronavirus,Tennis stars rally in fight against coronavirus | Reuters,https://www.reuters.com/article/us-tennis-tennis-nadal-djokovic-federer-idUSKBN21F0TP
The 11 Songs We Couldn't Get Enough of This Month,The 11 Songs We Couldn't Get Enough of This Month,https://www.vice.com/en/article/pke4py/best-songs-march-2020
Are you a robot?,Bloomberg - Are you a robot?,https://www.bloomberg.com/tosv2.html?vid=&uuid=bd7bd3b0-2891-11eb-8d15-bb860e77ac20&url=L25ld3MvdmlkZW9zLzIwMjAtMDMtMTgvdHJ1bXAtc2F5cy11c2luZy10aGUtdGVybS1jaGluZXNlLXZpcnVzLWlzLW5vdC1yYWNpc3QtdmlkZW8=
WHO unsuccessfully targeted by hackers earlier this month: report,WHO unsuccessfully targeted by hackers earlier this month: report | TheHill,https://thehill.com/policy/cybersecurity/489093-who-unsuccessfully-targeted-by-hackers-earlier-this-month-report
